Word,Frequency,Score
half,417.0,2.6335731414868118
doesnt,188.0,2.6691489361702136
run,612.0,2.657026143790848
bottom,563.0,2.674955595026643
10b,206.0,3.022815533980581
goes,1062.0,2.755932203389833
10c,242.0,3.061157024793388
edging,58.0,3.162068965517242
area,696.0,2.6290229885057466
chimney,3184.0,2.5989635678392005
same,771.0,2.671854734111543
help,166.0,2.8819277108433754
fixed,1390.0,2.8289928057553984
arête,315.0,2.6666666666666683
511,1077.0,3.1333333333333435
150,475.0,2.6570526315789476
join,241.0,2.6414937759336086
behind,475.0,2.6204210526315794
give,153.0,2.7529411764705887
located,366.0,2.7177595628415294
slot,431.0,2.6030162412993043
delicate,245.0,3.0040816326530613
protecting,127.0,2.9031496062992126
following,773.0,2.7598965071151365
resistance,211.0,2.5260663507109005
trending,415.0,2.728192771084336
eventually,492.0,2.819105691056909
high,932.0,2.8167381974248977
typical,104.0,2.827884615384616
weird,105.0,2.914285714285714
table,54.0,2.6296296296296298
style,141.0,2.956028368794326
favorite,66.0,3.1136363636363638
cliff,727.0,2.6316368638239336
lots,393.0,2.6590330788804075
rest,670.0,3.018507462686568
find,1278.0,2.639749608763695
safe,118.0,2.7788135593220327
intimidating,113.0,3.038938053097345
stopper,122.0,2.664754098360656
crank,173.0,3.0115606936416186
funky,137.0,2.9379562043795637
short,3358.0,2.697409172126273
easy,3874.0,2.6875838926174427
twice,69.0,2.791304347826086
using,813.0,2.751168511685117
prominent,395.0,2.6936708860759495
east,922.0,2.4990238611713678
blind,58.0,2.7034482758620695
valley,106.0,2.877358490566037
starts,1436.0,2.7486072423398356
absolutely,64.0,3.1328124999999996
offers,194.0,2.814432989690721
overhanging,858.0,2.887179487179491
eye,107.0,2.7906542056074772
rated,173.0,2.777456647398844
guidebook,269.0,2.7081784386617094
rating,264.0,2.554545454545454
pg13,244.0,2.6918032786885244
might,618.0,2.6349514563106817
crumbly,106.0,2.4679245283018867
real,189.0,2.7767195767195765
surprisingly,122.0,2.7909836065573774
decent,397.0,2.516876574307304
provides,135.0,2.6703703703703696
enjoyable,291.0,2.724054982817869
aid,543.0,2.754511970534067
outstanding,61.0,3.085245901639345
road,298.0,2.628187919463088
park,92.0,2.7043478260869573
southeast,105.0,2.6009523809523802
tower,807.0,2.7297397769516754
hike,352.0,2.6269886363636354
west,940.0,2.5446808510638337
south,940.0,2.5505319148936194
massive,215.0,2.829767441860465
north,1023.0,2.5226783968719446
slope,83.0,2.47710843373494
class,1220.0,2.456475409836069
approach,817.0,2.6705018359853114
takes,702.0,2.8306267806267793
minutes,98.0,2.9173469387755095
miles,51.0,2.4882352941176475
prow,207.0,2.746859903381644
three,1291.0,2.8088303640588705
highly,139.0,2.969064748201439
series,381.0,2.7637795275590538
roofs,346.0,2.8537572254335233
tcus,78.0,3.0230769230769243
useful,140.0,2.801428571428571
widens,160.0,2.798750000000001
need,491.0,2.865987780040733
200,373.0,2.6152815013404815
bad,397.0,2.5347607052896723
questionable,109.0,2.4724770642201834
recommended,377.0,2.7649867374005312
4th,754.0,2.573342175066313
blocks,686.0,2.530903790087463
seam,481.0,2.8507276507276513
physical,85.0,2.900000000000001
exposed,875.0,2.9473142857142878
nuts,325.0,2.844923076923078
extremely,105.0,2.826666666666668
helpful,108.0,2.812037037037037
once,892.0,2.771860986547088
wider,95.0,2.7147368421052636
center,392.0,2.7469387755102006
watch,256.0,2.6937500000000005
3rd,685.0,2.7061313868613137
double,930.0,2.7511827956989285
required,197.0,2.88020304568528
70m,725.0,2.8966896551724135
links,59.0,2.876271186440679
things,186.0,2.799462365591398
actually,245.0,2.7306122448979586
gains,142.0,2.8176056338028173
point,775.0,2.6390967741935465
sport,375.0,2.981866666666667
any,599.0,2.612353923205342
kind,137.0,2.7562043795620434
grade,660.0,2.896212121212121
attention,105.0,2.861904761904762
seems,249.0,2.677510040160641
improbable,86.0,2.979069767441861
desert,104.0,2.8625000000000003
difficult,760.0,2.782499999999998
terrain,1188.0,2.72138047138047
sandstone,70.0,2.728571428571429
offwidth,776.0,2.7134020618556725
narrow,272.0,2.6290441176470596
across,964.0,2.7117219917012476
band,263.0,2.6041825095057036
dark,203.0,2.5512315270935977
stone,313.0,2.8696485623003185
excellent,800.0,2.986625
although,344.0,2.6773255813953494
totally,66.0,2.813636363636364
